
Jogador,Equipa,Posição,Idade,Valor de mercado,Contrato termina,Partidas jogadas,Minutos jogados:,Golos,Golos esperados,Naturalidade,País de nacionalidade,Pé,Altura,Peso,Emprestado
Luciano Castán,Cruzeiro,LCB,34,300000,2023-12-31,45,4540,1,1.71,Brazil,"Brazil, Italy",esquerdo,187,80,sim
Anderson Conceição,CRB,LCB,34,300000,2024-12-31,23,2025,1,0.71,Brazil,Brazil,esquerdo,188,75,sim
Fabio Alemão,CRB,"RCB, LCB",27,300000,2023-12-31,41,3949,4,2.93,Brazil,Brazil,direito,184,87,sim
Renan Alves,Barito Putera,"RCB, CB",30,300000,2023-12-31,39,3813,7,7.11,Brazil,Brazil,direito,183,80,sim
Alan,Lokomotiv Sofia 1929,"RCB, LCB",25,300000,2024-06-30,29,2674,2,1.66,Brazil,Brazil,direito,191,78,sim
Eduardo Brock,Cerro Porteño,LCB,32,300000,2023-12-31,35,2850,0,1.52,Brazil,"Brazil, Italy",esquerdo,186,89,sim
Klaus,RWD Molenbeek,"CB, RCB",29,300000,2024-06-30,10,935,0,0.25,Brazil,Brazil,direito,187,79,sim
Fábio Sanches,Ponte Preta,"LCB, RCB",32,300000,2023-11-30,33,3000,0,1.56,Brazil,Brazil,direito,186,85,sim
Gustavo Alemão,Al Nasr,"LCB, RCB",23,300000,2023-12-29,15,1277,1,1.88,Brazil,Brazil,direito,186,0,sim
Renan,Renofa Yamaguchi,"LCB, CB",27,275000,2024-01-31,27,2568,1,1.03,Brazil,Brazil,esquerdo,183,80,sim
Jaime,Persis Solo,"RCB, CB, LCB",33,275000,2024-05-31,31,2849,2,1.84,Brazil,Brazil,direito,185,84,sim
Bueno,Kashiwa Reysol,RCB,28,250000,2025-01-31,1,27,0,0.0,Brazil,Brazil,direito,182,79,sim
Guilherme Café,Marília,RCB,26,250000,2024-04-30,18,1559,0,0.05,Brazil,Brazil,direito,187,80,sim
Ronaldo Alves,Ferroviária,"RCB, LCB",34,250000,2023-12-31,9,811,0,0.51,Brazil,Brazil,direito,187,89,sim
Gilvan,América RN,"LCB, CB",33,250000,2023-12-31,14,880,2,0.89,Brazil,Brazil,esquerdo,188,77,sim
Barbosa,Ilioupoli,"CB, RCB",24,250000,2025-06-30,17,1595,1,0.94,Brazil,Brazil,direito,193,74,sim
Marcondes,Vila Nova,"RCB, LCB",30,250000,2023-11-30,17,1053,0,0.64,Brazil,Brazil,direito,184,83,sim
Nilson Júnior,Sepahan,LCB,32,250000,2024-06-30,2,138,0,0.0,Brazil,Brazil,esquerdo,190,73,sim
Éverton Alemão,Brusque,RCB,30,250000,2023-11-30,33,3080,2,1.98,Brazil,Brazil,direito,185,80,sim
Thalisson Kelven,Mirassol,RCB,25,250000,2024-05-31,38,3745,2,1.68,Brazil,Brazil,direito,184,79,sim
Brendon Lucas,Hồ Chí Minh City,"RCB, LCB",28,250000,2024-06-30,19,1642,0,1.79,Brazil,Brazil,direito,188,80,sim
Sávio,Rio Ave,"LCB, LB, LWB",28,250000,2025-06-30,23,785,0,0.05,Brazil,Brazil,esquerdo,173,69,sim
P. Magalhaes,Deportes Iquique,"RCB, RB",33,250000,2023-12-31,4,348,0,0.0,Brazil,"Brazil, Chile",direito,177,75,sim
Rafael Donato,Vila Nova,RCB,34,250000,2023-12-31,46,4444,3,4.85,Brazil,Brazil,direito,193,100,sim
Frazan,Ituano,RCB,27,250000,2023-12-31,17,1368,0,0.39,Brazil,Brazil,direito,188,79,sim
Rafael Vaz,Londrina,LCB,35,250000,2023-11-30,40,3897,2,3.44,Brazil,Brazil,esquerdo,188,84,sim
João Victor,Vitória,"RCB, LCB, CB",26,250000,2024-12-31,21,1515,0,2.52,Brazil,Brazil,direito,188,80,sim
Paulo Vinícius,BVSC,"RCB, CB, LCB",33,250000,2024-06-30,21,1909,1,1.46,Brazil,"Brazil, Hungary",direito,184,77,sim
Titi,Fortaleza,LCB,35,250000,2024-12-31,59,5694,1,2.01,Brazil,"Brazil, Italy",esquerdo,188,83,sim
L. Soldá,Sukhothai,RCB,30,250000,2023-11-30,23,2061,0,1.86,Brazil,"Brazil, Italy",direito,193,91,sim
Ligger,Grêmio Novorizontino,"LCB, CB",35,250000,2023-11-30,23,1827,0,1.12,Brazil,Brazil,esquerdo,187,83,sim
Renato,Grêmio Novorizontino,"LCB, CB",32,250000,2024-04-30,33,3004,0,1.09,Brazil,Brazil,direito,190,89,sim
Arthur Félix,Londrina,RCB,33,225000,2023-11-30,7,682,1,0.97,Brazil,Brazil,direito,190,85,sim
Eduardo Mancha,Ventforet Kofu,LCB,27,225000,2024-01-31,31,2448,2,1.65,Brazil,Brazil,esquerdo,187,80,sim
Hugo Figueiredo,Hegelmann Litauen,"LCB, LB",31,225000,2023-12-31,36,3277,5,1.99,Brazil,"Brazil, Portugal",esquerdo,183,78,sim
Maurício,Chapecoense,RCB,34,200000,2023-11-30,8,679,0,0.21,Brazil,Brazil,direito,185,83,sim
Paulo Sérgio,Operário PR,"CB, RCB",34,200000,2023-12-31,9,704,0,0.22,Brazil,Brazil,direito,186,83,sim
Jefferson,Al Qaisoma,"RCB, RDMF, CB",30,200000,2024-06-30,24,2039,1,0.97,Brazil,Brazil,direito,190,83,sim
Mauricio Barbosa,Portuguesa RJ,"RCB, CB",28,200000,2024-04-10,12,1197,0,0.53,Brazil,Brazil,direito,198,93,sim
N. Rizzo,Triestina,"LCB, LB",23,200000,2024-06-30,21,1478,1,0.82,Italy,"Italy, Brazil",esquerdo,188,78,sim
Henrique,Coritiba,"LCB, CB",37,200000,2023-12-31,26,2487,0,1.06,Brazil,Brazil,direito,185,85,sim
P. Casagrande Oliveira,Sporting Covilhã,"CB, RCB, LCB",24,200000,2024-06-30,17,1282,2,1.55,Brazil,Brazil,direito,186,78,sim
Brunão,Turan-T,"RCB, LCB",26,200000,2024-06-30,34,3017,4,4.59,Brazil,Brazil,direito,188,80,sim
Gabriel Xavier,Bahia,"RCB, LCB",22,200000,2025-12-31,24,2032,1,1.69,Brazil,Brazil,direito,190,85,sim
Cleylton,Chapecoense,"RCB, LCB",30,200000,2023-11-30,10,656,0,0.47,Brazil,Brazil,direito,190,83,sim
Matias Antonini,Taranto,CB,25,200000,2025-06-30,37,3618,5,1.74,Brazil,"Brazil, Italy",direito,191,80,sim
Mateus Moraes,Yokohama,LCB,22,200000,2024-01-31,21,1741,0,0.3,Brazil,Brazil,esquerdo,188,74,sim
Igor Gómes,Internacional,"RB, RCB",22,200000,2023-12-31,29,1674,1,1.81,Brazil,Brazil,direito,185,76,sim
Lucas Dias,Botafogo SP,RCB,28,200000,2024-12-05,25,1872,0,1.15,Brazil,Brazil,direito,191,82,sim
Reniê,Mirassol,LCB,34,200000,2023-11-30,8,573,0,0.13,Brazil,Brazil,direito,183,80,sim
Brinner,Uthai Thani,"RCB, CB, LCB",36,200000,2024-05-31,34,3327,2,2.8,Brazil,Brazil,direito,189,73,sim
Rodrigo,Criciúma,RCB,36,200000,2023-12-31,51,5153,0,3.16,Brazil,Brazil,direito,187,80,sim
Réver,Atlético Mineiro,LCB,38,200000,2023-12-31,20,891,0,0.36,Brazil,Brazil,direito,192,83,sim
Matheus,Atyrau,"RCB, LCB",32,200000,2023-12-31,21,1538,0,0.65,Brazil,"Brazil, Portugal",direito,188,88,sim
David Braz,Fluminense,LCB,36,200000,2024-06-30,30,1778,0,1.1,Brazil,Brazil,direito,188,86,sim
Douglas Mendes,Liefering,RCB,19,200000,2027-06-30,19,1098,0,0.84,Brazil,Brazil,direito,189,78,sim
Luizão,Radomiak Radom,"RCB, RDMF, RCMF",25,200000,2025-06-30,15,1143,0,0.23,Brazil,Brazil,direito,184,66,sim
Micael,Houston Dynamo,"LCB, LB",23,175000,2024-12-31,33,2970,1,1.63,Brazil,Brazil,esquerdo,183,82,sim
Nailson,Al Jabalain,LCB,29,175000,2024-06-30,27,2790,3,2.09,Brazil,Brazil,esquerdo,191,86,sim
Erivaldo Almeida,Estrela Amadora,"LCB, RCB",23,175000,2023-12-31,11,792,0,0.26,Brazil,Brazil,esquerdo,189,77,sim
Rafael Vitor,Penang,"LCB, CB",30,175000,2023-11-30,28,2718,4,4.92,Brazil,Brazil,direito,192,78,sim
João Vialle,Pouso Alegre,"RCB, RB",21,150000,2024-12-31,16,1374,0,0.35,Brazil,Brazil,direito,184,81,sim
Didi,Avaí,LCB,32,150000,2023-11-30,21,1998,1,0.59,Brazil,Brazil,direito,184,78,sim
Robson Reis,Paços de Ferreira,"RCB, CB",23,150000,2024-12-31,4,65,0,0.0,Brazil,Brazil,direito,195,87,sim
Mateus Silva,Ponte Preta,RCB,28,150000,2023-12-31,41,3901,3,3.84,Brazil,Brazil,direito,192,92,sim
Titi,Guarani,"LCB, LB",21,150000,2024-02-11,6,502,1,0.16,Brazil,Brazil,esquerdo,187,79,sim
Heitor,Levadia,"RCB, LCB",23,150000,2023-12-31,24,2042,3,1.98,Brazil,Brazil,direito,0,0,sim
Pará,Sampaio Corrêa,"LB, LCB",36,150000,2024-12-31,16,1264,0,0.4,Brazil,Brazil,esquerdo,172,73,sim
Felipe Melo,Fluminense,LCB,40,150000,2024-12-31,45,2435,3,1.59,Brazil,"Brazil, Spain",direito,183,80,sim
Roberto Dias,Al Kholood,RCB,35,150000,2024-06-30,33,3438,2,1.06,Brazil,"Brazil, Portugal",direito,188,86,sim
Wálber,Guarani,"RCB, LCB",26,150000,2024-12-31,29,2196,0,0.26,Brazil,Brazil,direito,186,80,sim
Bruno Oliveira,Velež,"LCB, LB",27,150000,2024-05-31,21,1646,0,0.29,Brazil,Brazil,esquerdo,186,0,sim
Anderson,Persik Kediri,RCB,30,150000,2024-06-30,29,2729,2,2.89,Brazil,Brazil,direito,0,0,sim
Saimon,CRB,RCB,32,150000,2023-12-31,22,1612,0,0.31,Brazil,Brazil,direito,185,79,sim
Rayan,Criciúma,LCB,33,150000,2023-12-31,27,2364,0,1.92,Brazil,Brazil,esquerdo,185,75,sim
Cleiton,Flamengo,LCB,20,150000,2024-12-31,18,1779,0,1.19,Brazil,Brazil,esquerdo,188,75,sim
Alisson Cassiano,Sport Recife,"RCB, LCB",29,150000,2023-11-30,23,1845,1,1.54,Brazil,Brazil,direito,187,83,sim
Isaque Gavioli,Leixões,RCB,22,125000,2025-06-30,5,345,0,0.0,Brazil,Brazil,direito,189,83,sim
Walisson Maia,Criciúma,LCB,32,125000,2023-11-30,36,3229,0,0.77,Brazil,Brazil,direito,187,81,sim
Allyson,Cuiabá,"RCB, LCB",33,125000,2024-12-31,17,1375,0,0.61,Brazil,Brazil,direito,184,78,sim
Henrique Vermudt,Botafogo,RCB,24,100000,2024-12-31,1,65,0,0.0,Brazil,Brazil,direito,180,76,sim
Felipe Camargo,Avaí,"LB, LCB",24,100000,2023-12-31,4,123,0,0.0,Brazil,Brazil,esquerdo,188,74,sim
Gustavo Rissi,Miami,"LWB, LB, LCB",25,100000,2023-11-30,13,774,0,0.24,Brazil,Brazil,direito,184,72,sim
Ulisses,Nacional,RCB,24,100000,2024-12-31,6,480,1,0.89,Brazil,Brazil,direito,186,80,sim
Derick,Pouso Alegre,RCB,21,100000,2026-03-31,7,460,0,0.66,Brazil,Brazil,direito,193,84,sim
Zé Vitor,Tombense,LCB,22,100000,2023-12-31,18,1083,2,0.73,Brazil,Brazil,esquerdo,189,86,sim
Reverson,Grêmio Novorizontino,"LWB, LCB, LB",26,100000,2023-12-31,36,2912,2,1.85,Brazil,Brazil,esquerdo,175,71,sim
Matheus Mega,CRB,"RCB, LCB, RB",24,100000,2023-12-31,8,649,0,0.49,Brazil,Brazil,direito,188,81,sim
Felipe Silva,Gil Vicente,LCB,21,100000,2025-12-31,27,2622,2,1.94,Brazil,Brazil,esquerdo,190,78,sim
Hélder,Criciúma,"LB, LCB",35,100000,2023-11-30,29,1892,1,0.24,Brazil,Brazil,esquerdo,179,81,sim
Matheus Mancini,Criciúma,LCB,29,100000,2023-12-31,18,1384,0,0.25,Brazil,"Brazil, Italy",esquerdo,190,75,sim
Venicio,Shijiazhuang Gongfu,"LCB, RCB",29,100000,2023-12-31,32,2450,3,1.81,Brazil,Brazil,direito,188,83,sim
Pedro Carrerette,Botafogo PB,LCB,24,100000,2023-11-30,25,2463,2,1.34,Brazil,Brazil,direito,188,88,sim
Joécio,Náutico,LCB,37,100000,2023-11-30,20,1736,2,1.92,Brazil,Brazil,direito,189,70,sim
Renzo,Sport Recife,RCB,22,100000,2025-12-31,4,318,1,0.04,Brazil,Brazil,esquerdo,184,78,sim
Bruno Silva,Grêmio Novorizontino,"CB, LCMF, RCMF",35,100000,2023-11-30,11,696,0,0.43,Brazil,Brazil,direito,183,82,sim
Raphael Rodrigues,Confiança,RCB,24,100000,2024-12-31,14,1251,0,0.26,Brazil,Brazil,direito,183,69,sim
Xandão,Varzim,LCB,33,100000,2023-11-30,29,2791,2,1.32,Brazil,Brazil,esquerdo,189,82,sim
Y. Victor,Kelantan United,"RCB, CB",28,100000,2023-11-30,16,1561,1,2.13,Brazil,Brazil,direito,189,82,sim
Alíx Vinícius,Atlético GO,"RCB, LCB",23,100000,2023-11-30,29,2555,2,3.41,Brazil,Brazil,direito,195,76,sim
Da Silva,Red Bull Bragantino,"RCB, LCB, CB",22,500000,2024-12-31,7,538,0,0.28,Brazil,Brazil,direito,192,82,sim
Rodrigo Moledo,Internacional,"RCB, LCB",36,500000,2023-12-31,27,2055,1,1.75,Brazil,Brazil,direito,188,84,sim
Gabriel Pereira,Gil Vicente,"RCB, LCB",23,500000,2026-06-30,25,2266,1,1.34,Brazil,Brazil,direito,188,86,sim
Bruno Uvini,Grêmio,"RCB, LCB",32,500000,2023-12-31,29,2476,2,2.6,Brazil,"Brazil, Italy",direito,188,85,sim
Mansur,Estrela Amadora,LCB,30,500000,2025-06-30,24,2239,1,1.3,Brazil,Brazil,esquerdo,181,74,sim
Emerson Santos,Atlético GO,"LCB, RCB, RB",28,500000,2025-01-01,26,1626,0,0.54,Brazil,Brazil,direito,184,75,sim
Camutanga,Vitória,"RCB, LCB, CB",30,500000,2023-11-30,46,4272,3,2.38,Brazil,Brazil,direito,189,80,sim
Matheus Costa,Marítimo,"RCB, LCB",28,500000,2026-06-30,24,1840,2,3.42,Brazil,"Brazil, Portugal",direito,188,82,sim
Márcio Silva,Botafogo SP,LCB,22,500000,2025-08-31,35,3243,0,1.86,Brazil,Brazil,esquerdo,192,85,sim
Rafael Thyere,Sport Recife,RCB,30,500000,2024-12-31,54,5416,5,3.89,Brazil,Brazil,direito,189,86,sim
Matheus Pereira,Oita Trinita,RCB,26,500000,2025-01-31,30,2689,2,2.16,Brazil,Brazil,direito,184,83,sim
Edu,Goiás,"RCB, LCB",23,500000,2024-06-30,20,1183,0,0.59,Brazil,Brazil,direito,185,88,sim
Maicon,Vasco da Gama,"RCB, LCB",35,500000,2023-12-31,25,2093,0,1.22,Brazil,"Brazil, Portugal",direito,191,80,sim
Roberto,Avaí,"RCB, LCB",25,500000,2023-11-30,30,2598,0,1.04,Brazil,Brazil,direito,188,88,sim
Paulo Ricardo,Al Hazem,RCB,29,500000,2023-12-31,23,2288,0,0.8,Brazil,Brazil,direito,186,80,sim
Marllon,Cuiabá,RCB,31,500000,2023-12-31,37,3797,2,2.81,Brazil,Brazil,direito,186,75,sim
Artur,Ponte Preta,"LB, LCB",29,500000,2023-11-30,48,4765,0,1.93,Brazil,Brazil,esquerdo,178,75,sim
Vitor Mendes,Fluminense,"RCB, LCB",24,450000,2024-12-31,13,798,1,0.7,Brazil,Brazil,direito,186,75,sim
Léo Borges,Pogoń Szczecin,"LB, LCB",22,450000,2025-06-30,19,754,0,0.16,Brazil,Brazil,esquerdo,179,73,sim
Clayton,AVS ,"RCB, LCB, RB",23,450000,2024-06-30,40,3725,3,2.61,Brazil,Brazil,direito,187,81,sim
